species,Year1982,Year1990,Year2000,Year2010
NorthChina,923,1086,1316.361,1849.475
NorthChina,776.4,884,963.298,1127.589
NorthChina,5300,6159,6618.361,7037.62
NorthChina,2529,2899,3185.414,3477.805
NorthChina,1927,2163,2265.267,2310.941
NorthEastChina,3572,3977,4089.836,4252.076
NorthEastChina,2256,2483,2475.007,2551.123
NorthEastChina,3267,3543,3335.404,3465.051
EastChina,1186,1337,1582.184,2253.525
EastChina,6052,6767,7012.033,7577.122
EastChina,3889,4168,4487.898,5400.348
EastChina,4967,5675,5659.447,5312.628
EastChina,2593,3037,3179.716,3477.491
EastChina,3318,3810,3504.684,4251.692
EastChina,7441,8493,8911.845,9272.503
CentralSouth,7442,8649,8963.025,9224.288
CentralSouth,4780,5439,5167.741,5226.904
CentralSouth,5401,6128,5751.206,6096.586
CentralSouth,5930,6346,8051.569,9676.589
CentralSouth,3642,4261,4157.001,4362.551
CentralSouth,450,663,717.934,826.56
SouthWest,2011,2534,2672.343,2609.882
SouthWest,7960,8270,7497.881,8161.604
SouthWest,2855,3268,3399.918,3332.265
SouthWest,3255,3731,4069.26,4467.537
SouthWest,189,222,243.024,265.904
NorthWestChina,2895,3316,3405.553,3614.887
NorthWestChina,1989,2255,2448.42,2623.094
NorthWestChina,355,448,473.064,535.412
NorthWestChina,389,470,543.625,611.957
NorthWestChina,1207,1529,1919.105,2086.576
