name,FG,rebound,assist,steal,block,score
"steven curry",0.50,6.30,7.20,3.50,0.00,27.70
"kobe bryant",0.39,5.30,3.00,1.50,0.20,26.50
"jamesharden",0.40,6.70,7.10,1.40,1.10,25.40
"blake griffen",0.46,6.30,3.20,0.20,0.50,24.50
"anthony davis",0.51,12.80,1.80,2.20,4.40,24.40
"klay thompson",0.47,2.60,3.20,1.00,0.80,23.80
"chris bosh",0.49,10.30,3.00,1.10,0.10,23.60
"lebron james",0.42,6.00,6.20,1.80,0.40,23.40
"DeMarcus Cousins",0.50,11.10,1.40,1.40,1.40,23.00
"LaMarcus Aldridge",0.46,7.10,2.00,0.60,0.90,22.90
"DeMar DeRozan",0.44,4.90,2.40,2.30,0.10,22.70
"Al Jefferson",0.49,7.40,1.70,0.90,1.90,22.70
"Rudy Gay",0.46,7.10,2.70,1.10,0.60,22.30
"Tony Wroten",0.44,4.30,6.70,2.70,0.40,21.90
"Dirk Nowitzki",0.52,5.90,2.30,0.60,0.40,20.60
"Jamal Crawford",0.43,1.80,2.80,1.40,0.00,20.20
"Reggie Jackson",0.37,4.30,8.30,0.30,0.30,20.00
"Kyrie Irving",0.41,2.40,4.20,1.00,0.20,20.00
"Joe Johnson",0.48,5.80,3.80,0.50,0.00,19.80
"Dwyane Wade",0.51,3.40,6.90,1.30,0.60,19.70
"Jeff Green",0.45,5.30,2.50,1.00,0.80,19.70
"Dwight Howard",0.63,11.50,1.30,1.00,1.80,19.00
"Kevin Martin",0.40,3.80,2.40,0.60,0.00,19.60
"Jimmy Butler",0.50,6.20,3.80,1.80,0.80,19.60
"Carmelo Anthony",0.38,4.70,4.00,0.60,0.10,19.60
"Deron Williams",0.49,2.50,7.00,1.00,0.50,19.50
"Marc Gasol",0.51,7.40,2.70,1.40,1.70,19.10
"John Wall",0.45,3.90,8.70,2.60,0.30,19.00
"Tony Parker",0.55,2.40,4.20,0.00,0.00,18.60
"Pau Gasol",0.50,10.60,1.70,0.30,2.10,18.60
"Nikola Vucevic",0.53,12.30,2.40,1.00,1.10,18.60
"Jeff Teague",0.46,2.60,8.20,1.60,0.60,18.20
"Kevin Love",0.37,11.20,1.80,1.00,0.20,18.00
"Kyle Lowry",0.48,4.40,5.60,1.10,0.10,17.90
"Gordon Hayward",0.47,6.00,5.10,1.00,0.30,17.90
"Tyreke Evans",0.40,7.80,5.80,0.80,0.40,17.80
"Wesley Matthews",0.51,4.10,1.70,0.90,0.30,17.70
"Brandon Knight",0.43,6.40,7.30,1.40,0.10,17.60
"Greg Monroe",0.51,11.80,2.80,0.80,0.00,17.50
"Zach Randolph",0.51,10.90,1.30,1.40,0.10,17.40
"Damian Lillard",0.40,5.40,5.70,0.70,0.30,17.40
"Monta Ellis",0.48,2.90,4.70,0.90,0.30,17.30
"Serge Ibaka",0.53,7.90,1.40,0.30,1.70,17.10
"Isaiah Thomas",0.48,2.00,4.40,0.70,0.00,16.90
"Tobias Harris",0.43,8.10,1.30,1.10,0.70,16.70
"Chris Copeland",0.39,5.90,2.30,0.30,0.30,16.70
"Chris Paul",0.44,4.50,10.50,2.70,0.70,16.70
"Kyle Korver",0.53,3.00,2.20,0.80,1.40,16.60
"Derrick Favors",0.57,8.40,1.60,0.90,1.40,16.30
"Markieff Morris",0.52,6.60,1.70,1.00,0.70,16.00
