name,displacement,power,weight,length,yield
XML6502J28N,2.2,76,1800,5030,4
XML6532J28N,2.2,76,1860,5330,16
XMQ6501EEB4,2.2,82,1795,5040,3
XMQ6501EEB4C,2.2,82,1795,5040,1
XMQ6531EEB4,2.2,82,1795,5340,10
ZN6441V1B4,1.6,78,1440,4420,1
ZN6441V1W4,1.5,75,1435,4420,1
ZN6461WAX,2.5,80,1890,4580,1
ZN6462W1E4,2.4,110,1695,4580,12
BJ6400L3R2N,1.2,57.2,1225,4030,237
EQ6411PFCNG,1,46,1100,4135,4
SC6406A4CNG,1.2,72,1220,3980,21
SC6406AV4CNG,1.2,63,1220,3980,25
SC6450KQ42CNG,1.2,64,1390,4498,1
SQR6440K067/N,1.2,59,1365,4430,9
SY6513U4ST1BH,2,75,1785,5020,32
SY6513U4ST1BH,2,75,1785,5070,14
EQ6400PFCNG,1,39,1050,4040,78
SC6399GCNG,1,50.8,1125,3860,90
EQ6400LF16,1.3,60.5,1085,4040,2
DFA6400W30QDB,1.3,58.8,1200,4030,14
LF6401CNG,1.3,66.5,1210,4015,1
HFJ6392BE4S,1,44,1095,3948,3
DC7164RTAM,1.6,78,1415,4558,189
DC7164RTBM,1.6,78,1465,4688,153
MR7182K07N,1.8,98,1325,4635,505
DFM7160B1ECNG,1.6,78,1300,4502,37
DFM7160B1F1,1.6,78,1300,4526,507
DN7156MQNS,1.5,88,1230,4570,198
DN7160MQN4B,1.6,73.5,1190,4400,23
DC7163RT,1.6,78,1189,4367,357
CA7165MTE4C,1.6,69,1420,4600,100
QCJ7150A6/CNG,1.5,80,1275,4533,165
QCJ7160A4/CNG,1.6,73.5,1275,4533,276
HMC7165A4S0,1.6,85.8,1360,4557,60
HFC7150BNF,1.5,83,1385,4590,4
FV7160BBMGC,1.6,70,1260,4487,105
FV7160FCG,1.6,70,1142,4415,71
JL7151K01N,1.5,69,1143,4324,130
SY7150E1STBAB,1.5,77,1327,4523,2
SY7150X1STBAB,1.5,77,1325,4510,33
LF7152/CNG,1.5,69,1205,4550,11
BH7183FMY,1.8,94.9,1500,4770,470
BH7183FMY,1.8,94.9,1525,4770,276
BH7200FMY,2,101,1525,4770,4
SQR7164A150/N,1.6,81,1178,4393,64
SQR7163A210/N,1.6,81,1375,4552,293
YQZ7140C4,1.4,69.9,1188,4290,172
YQZ7162C4,1.6,82.4,1300,4500,729
SVW7182RQD,1.8,74,1280,4687,970
DC7165RTAM,1.6,78,1390,4588,978
CC7150CE07,1.5,78,1245,4452,3
SC7165A,1.6,80,1265,4490,372
CA7150BUE4M,1.5,75,1070,4290,122
CA7160UE4M,1.6,77,1070,4290,22
BH7162FMY,1.6,82,1321,4545,553
BH7162FMZ,1.6,82,1343,4545,494
JL7181K03N,1.8,102,1250,4602,2
JL7181K05N,1.8,98,1250,4602,251
SC7151A4CNG,1.5,72,1233,4360,1
CA4163P1K2NE5A80,9.7,191,6580,6505,1
CA4226P1K15T3NE5A80,9.7,247,8200,7025,13
CA4253P1K15T1NE5A80,9.7,247,9380,7325,1
CA4258P2K15T1NE5A80,11.6,257,8805,7470,1
CGC4253N52BA,9.7,247,8350,7130,1
HFC4241P1N5C29V,9.7,247,7800,6975,2
SQR4182N6Z,8.4,191,7200,6726,4
SX4188NR361T,9.7,220,7540,6350,2
SX4258NT299TL,11.6,257,7800,6950,1
SX4258NT299TL,11.6,280,7800,6950,1
SXQ4251M7N1-5,11.6,257,9800,7470,1
ZJZ4250NPT4AZ4,11.6,243,8730,7025,10
ZJZ4250NPT4AZ4,11.6,280,8730,7495,1
BJ4253SNFCB-AA,11.6,257,8100,7460,108
BJ4253SNFCB-AB,11.6,257,8800,7525,6
BJ4253SNFCB-AB,11.6,280,8800,7525,94
BJ4253SNFCB-AC,11.6,280,8800,7525,13
CA4226P1K15T3NA80,9.7,247,8200,7025,32
CA4226P2K15T3NA80,9.7,247,8700,7143,6
CA4226P2K15T3NE5A80,9.7,247,8700,7170,1
CA4250P66T1A2E22M4,12.5,290,8870,7510,5
CA4253P1K15T1NA80,9.7,247,9380,7325,8
CA4258P2K15T1NA80,11.6,257,8805,7443,1
CGC4253N43CA,11.6,280,8800,7455,16
CGC4253N4XB,9.7,247,8300,7150,15
CGC4253WN4XC,9.7,247,9750,7455,2
CGC4253WN4XC,11.6,257,9750,7455,1
CQ4256HTG384T,11.6,280,8800,7360,1
